Name,Image,Description,"L+0,05/-0,13","C+0/-0,13",Anom,Smin,"d+0,08/-0",m,B
M2,Lisovací sloupky uzavřené.png,1,10,"4,2","4,8",1,"4,22",6,4
"M2,5",Lisovací sloupky uzavřené.png,1,6,"4,2","4,8",1,"4,22",6,"3,2"
"M2,5",Lisovací sloupky uzavřené.png,1,7,"4,2","4,8",1,"4,22",6,"3,6"
"M2,5",Lisovací sloupky uzavřené.png,1,8,"4,2","4,8",1,"4,22",6,4
"M2,5",Lisovací sloupky uzavřené.png,1,10,"4,2","4,8",1,"4,22",6,4
"M2,5",Lisovací sloupky uzavřené.png,1,12,"4,2","4,8",1,"4,22",6,5
"M2,5",Lisovací sloupky uzavřené.png,1,14,"4,2","4,8",1,"4,22",6,"6,5"
"M2,5",Lisovací sloupky uzavřené.png,1,16,"4,2","4,8",1,"4,22",6,"6,5"
M3,Lisovací sloupky uzavřené.png,1,4,"4,2","4,8",1,"4,22",6,-
M3,Lisovací sloupky uzavřené.png,1,5,"4,2","4,8",1,"4,22",6,"2,8"
M3,Lisovací sloupky uzavřené.png,1,6,"4,2","4,8",1,"4,22",6,"3,2"
M3,Lisovací sloupky uzavřené.png,1,7,"4,2","4,8",1,"4,22",6,"3,6"
M3,Lisovací sloupky uzavřené.png,1,8,"4,2","4,8",1,"4,22",6,4
M3,Lisovací sloupky uzavřené.png,1,9,"4,2","4,8",1,"4,22",6,4
M3,Lisovací sloupky uzavřené.png,1,10,"4,2","4,8",1,"4,22",6,4
M3,Lisovací sloupky uzavřené.png,1,12,"4,2","4,8",1,"4,22",6,5
M3,Lisovací sloupky uzavřené.png,1,14,"4,2","4,8",1,"4,22",6,"6,5"
M3,Lisovací sloupky uzavřené.png,1,15,"4,2","4,8",1,"4,22",6,"6,5"
M3,Lisovací sloupky uzavřené.png,1,16,"4,2","4,8",1,"4,22",6,"6,5"
M3,Lisovací sloupky uzavřené.png,1,18,"4,2","4,8",1,"4,22",6,"9,5"
M3,Lisovací sloupky uzavřené.png,1,20,"4,2","4,8",1,"4,22",6,"9,5"
M3,Lisovací sloupky uzavřené.png,1,22,"4,2","4,8",1,"4,22",6,"9,5"
M3,Lisovací sloupky uzavřené.png,1,25,"4,2","4,8",1,"4,22",6,"9,5"
M3,Lisovací sloupky uzavřené.png,1,30,"4,2","4,8",1,"4,22",6,"9,5"
M4,Lisovací sloupky uzavřené.png,1,6,"7,12","7,9","1,27","7,14",8,"3,2"
M4,Lisovací sloupky uzavřené.png,1,8,"7,12","7,9","1,27","7,14",8,4
M4,Lisovací sloupky uzavřené.png,1,9,"7,12","7,9","1,27","7,14",8,4
M4,Lisovací sloupky uzavřené.png,1,10,"7,12","7,9","1,27","7,14",8,4
M4,Lisovací sloupky uzavřené.png,1,12,"7,12","7,9","1,27","7,14",8,5
M4,Lisovací sloupky uzavřené.png,1,14,"7,12","7,9","1,27","7,14",8,"6,5"
M4,Lisovací sloupky uzavřené.png,1,16,"7,12","7,9","1,27","7,14",8,"6,5"
M4,Lisovací sloupky uzavřené.png,1,18,"7,12","7,9","1,27","7,14",8,"9,5"
M4,Lisovací sloupky uzavřené.png,1,20,"7,12","7,9","1,27","7,14",8,"9,5"
M4,Lisovací sloupky uzavřené.png,1,22,"7,12","7,9","1,27","7,14",8,"9,5"
M4,Lisovací sloupky uzavřené.png,1,24,"7,12","7,9","1,27","7,14",8,"9,5"
M4,Lisovací sloupky uzavřené.png,1,25,"7,12","7,9","1,27","7,14",8,"9,5"
M4,Lisovací sloupky uzavřené.png,1,30,"7,12","7,9","1,27","7,14",8,"9,5"
M5,Lisovací sloupky uzavřené.png,1,6,"7,12","7,9","1,27","7,14",8,"3,2"
M5,Lisovací sloupky uzavřené.png,1,8,"7,12","7,9","1,27","7,14",8,4
M5,Lisovací sloupky uzavřené.png,1,10,"7,12","7,9","1,27","7,14",8,4
M5,Lisovací sloupky uzavřené.png,1,12,"7,12","7,9","1,27","7,14",8,5
M5,Lisovací sloupky uzavřené.png,1,14,"7,12","7,9","1,27","7,14",8,"6,5"
M5,Lisovací sloupky uzavřené.png,1,16,"7,12","7,9","1,27","7,14",8,"6,5"
M5,Lisovací sloupky uzavřené.png,1,18,"7,12","7,9","1,27","7,14",8,"9,5"
M5,Lisovací sloupky uzavřené.png,1,20,"7,12","7,9","1,27","7,14",8,"9,5"
M5,Lisovací sloupky uzavřené.png,1,22,"7,12","7,9","1,27","7,14",8,"9,5"
M5,Lisovací sloupky uzavřené.png,1,24,"7,12","7,9","1,27","7,14",8,"9,5"
M5,Lisovací sloupky uzavřené.png,1,25,"7,12","7,9","1,27","7,14",8,"9,5"
M5,Lisovací sloupky uzavřené.png,1,30,"7,12","7,9","1,27","7,14",8,"9,5"